Rank;Land;Rating;Average_Rank;Average_Rating;1Year_Change_Rank;1Year_Change_Rating;Matches_Total;Matches_Home;Matches_Away;Matches_Neutral;Wins;Losses;Draws;Goals_For;Goals_Against
1;Spain;2155;7;1946;0;-12;781;341;302;138;461;138;182;1592;698
2;Argentina;2114;5;1987;0;-32;1110;381;419;310;611;228;271;2114;1136
3;France;2062;16;1795;1;49;939;474;341;124;474;270;195;1707;1274
4;England;2021;4;1983;1;10;1161;509;524;128;684;215;262;2720;1118
5;Brazil;1991;4;1998;1;-3;1067;373;346;348;672;172;223;2302;957
6;Portugal;1986;19;1797;-3;-34;695;321;262;112;347;189;159;1224;780
7;Colombia;1977;48;1621;2;41;649;185;229;235;266;205;178;845;742
8;Netherlands;1944;15;1848;-1;-30;902;430;358;114;465;240;197;1892;1143
9;Ecuador;1935;64;1525;2;26;599;183;211;205;184;254;161;721;904
10;Germany;1932;8;1911;-2;-23;1047;470;416;161;606;224;217;2358;1233
11;Norway;1917;38;1623;4;55;887;426;409;52;335;355;197;1376;1444
12;Turkey;1911;42;1611;5;64;671;291;300;80;265;250;156;953;970
13;Croatia;1908;12;1881;-3;-4;399;157;167;75;209;84;106;694;403
14;Japan;1906;62;1467;2;52;836;332;207;297;409;257;170;1518;985
15;Belgium;1893;24;1755;5;57;878;416;376;86;392;302;184;1606;1359
16;Uruguay;1892;12;1876;-4;3;1019;336;432;251;446;321;252;1610;1254
17;Switzerland;1891;27;1690;6;64;897;426;392;79;320;373;204;1340;1484
18;Mexico;1875;20;1782;7;73;1030;298;273;459;535;258;237;1829;1056
19;Senegal;1867;56;1591;13;109;705;221;260;224;319;193;193;969;672
20;Denmark;1864;20;1799;-6;0;904;413;396;95;419;298;187;1650;1220
21;Italy;1859;8;1915;-8;-22;902;407;324;171;480;177;245;1580;894
22;Paraguay;1833;23;1755;0;2;789;215;365;209;277;303;209;1006;1115
23;Austria;1830;20;1810;-5;-15;866;432;383;51;371;310;185;1561;1321
24;Morocco;1824;43;1657;0;13;729;319;219;191;365;165;199;1107;614
25;Canada;1788;49;1599;2;-8;490;154;200;136;190;185;115;629;624
26;Ukraine;1785;31;1745;2;-6;339;134;145;60;154;90;95;477;356
27;Scotland;1782;14;1879;15;66;869;403;413;53;413;268;188;1503;1076
28;Australia;1777;35;1672;4;19;637;271;223;143;326;180;131;1290;716
29;Iran;1772;40;1658;-3;-26;670;223;195;252;384;132;154;1275;525
30;Nigeria;1770;38;1668;35;194;716;241;263;212;332;179;205;1080;723
30;Russia;1770;24;1742;-1;-14;814;312;383;119;431;174;209;1479;779
32;Algeria;1760;48;1621;12;50;689;261;234;194;310;196;183;1053;703
33;South Korea;1758;35;1687;-3;-9;1052;353;255;444;573;221;258;1913;964
34;Greece;1754;49;1559;-14;-82;657;298;296;63;251;249;157;835;908
35;Czechia;1740;13;1855;-4;-23;884;361;416;107;426;261;197;1629;1099
36;Serbia;1734;20;1787;-17;-103;862;302;424;136;403;267;192;1618;1181
37;Panama;1730;99;1362;2;5;594;201;228;165;197;252;145;743;915
38;United States;1726;41;1642;5;14;827;489;253;85;367;287;173;1250;1077
39;Venezuela;1722;84;1432;-5;-35;482;179;179;124;129;246;107;522;874
40;Uzbekistan;1718;60;1596;7;24;366;130;129;107;180;111;75;635;400
41;Kosovo;1714;102;1420;20;110;108;48;40;20;42;43;23;153;147
42;Sweden;1712;17;1795;-7;-42;1120;490;500;130;549;336;235;2229;1487
43;Poland;1710;30;1712;2;4;921;397;410;114;400;296;225;1564;1243
44;Chile;1708;28;1678;-3;-9;853;328;308;217;318;347;188;1195;1218
45;Hungary;1707;20;1835;1;10;1034;468;492;74;488;324;222;2071;1526
46;Peru;1701;34;1679;-9;-38;709;266;253;190;229;304;176;859;988
47;Ireland;1699;24;1626;8;64;743;378;305;60;262;287;194;979;1161
48;Egypt;1696;37;1662;2;30;885;354;281;250;447;217;221;1546;923
49;Ivory Coast;1695;45;1640;16;119;693;241;238;214;349;166;178;1132;696
50;Slovenia;1685;54;1625;-14;-64;320;145;145;30;116;117;87;400;379
50;Jordan;1685;111;1324;1;29;584;201;193;190;207;219;158;730;715
52;Wales;1682;22;1671;-14;-54;735;346;357;32;236;332;167;919;1176
53;Slovakia;1667;40;1681;-5;-10;368;158;166;44;150;131;87;521;460
